artist_id	artist_name	genre
-774787756	Breaking Benjamin	Rock
-156030370	Nelly	Rap
4006233	Amy Winehouse	R&B
29275209	La Arrolladora Banda el Limón de René Camacho	Latin
1394975768	LMFAO	Pop
681150140	Nirvana	Rock
1981234687	Maroon 5	Pop
-1036718329	R. Kelly	R&B
-1097702016	Enrique Iglesias	Latin
1313789802	Chrisette Michele	R&B
1246967695	Randy Houser	Country
537436553	Rascal Flatts	Country
-1932502089	Kem	R&B
-1085820820	Dru Hill	R&B
1353562323	Dr. Dre	Rap
632999181	Sugarland	Country
771217057	Justin Moore	Country
1696743193	Wale	Rap
-335441879	Tank	R&B
230181130	Jamey Johnson	Country
1183697768	Jagged Edge	R&B
-938668031	Pitbull	Rap
1750122028	Phil Collins	Pop
-395738393	Miley Cyrus	Pop
642089868	Demi Lovato	Pop
-1023814471	REO Speedwagon	Pop
1199753030	Joe	Reggae
1044042911	Buckcherry	Rock
1575199978	ZZ Top	Rock
512113733	Toni Braxton	R&B
-190310771	The Doobie Brothers	Rock
-610872946	Jeremih	R&B
45743612	Iron Maiden	Rock
1217778023	Def Leppard	Rock
318946303	Bullet for My Valentine	Pop
-2129533997	Florence + the Machine	Pop
262405336	Young Money	Rap
798835842	El Komander	Latin
1952729150	Justin Bieber	Pop
-901012307	Drake	Rap
-1544889787	Jill Scott	R&B
279116801	Alice in Chains	Rock
-2023410439	Wiz Khalifa	Rap
838529738	Easton Corbin	Country
-841747408	Kevin Hart	Comedy/Spoken
-1556268275	Usher	R&B
1526399177	Alicia Keys	R&B
-1775224728	Selena Gomez	Pop
-975410932	Drake & Kanye West & Lil Wayne & Eminem	NA
1757590314	Blake Shelton	Country
65561447	Stone Sour	Rock
836660010	Staind	Rock
1133138626	Paramore	Pop
471490557	Slipknot	Rock
188563142	Theory of a Deadman	Rock
-152712783	Josh Groban	Vocal
-1380801206	Metallica	Rock
633063902	Jaheim	R&B
-2050560466	Disturbed	Rock
756224113	Michael Bublé	Vocal
-1765403655	Linkin Park	NA
-483823386	Lyfe Jennings	R&B
-44759097	My Chemical Romance	Rock
1638880701	Avenged Sevenfold	Rock
1382707054	Bread	Rock
636015410	The Doors	Rock
2004801411	Pantera	Rock
1647433271	Gerald Levert	R&B
